address,nearest_mrt,time_to_nearest_mrt,price,unit_type,room_type,room_size,status,updated_time,link,updated_date
508A Wellington Circle,Sembawang, 5 mins,800.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-25 13:50:29.325042,https://99.co/singapore/rooms/property/508a-wellington-circle-hdb-KtdtZLJLwgTcLu2Fxw3RUh,2023-09-25
32 Woodlands Cres,,,1300.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-25 13:43:29.325058,https://99.co/singapore/rooms/property/northoaks-condo-kza4Vk9SeC8tfr9GcZzU3p,2023-09-25
424C Yishun Avenue 11,,,950.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:43:29.325062,https://99.co/singapore/rooms/property/424c-yishun-avenue-11-hdb-5zDnE7EwH4KfLxVKVACr3H,2023-09-25
808A Chai Chee Road,,,1200.0,HDB,Common room,100.0,PARTIALLY FURNISHED,2023-09-25 13:39:29.325064,https://99.co/singapore/rooms/property/808a-chai-chee-road-hdb-XF2rTkAiedinrb6rtppQMx,2023-09-25
36 Margaret Drive,Queenstown, 4 mins,1600.0,HDB,Common room,108.0,PARTIALLY FURNISHED,2023-09-25 13:36:29.325067,https://99.co/singapore/rooms/property/36-margaret-drive-hdb-kcXnHPBZBsWJwLitAExiHt,2023-09-25
101 Pasir Ris Street 12,,,1200.0,HDB,Master room,200.0,FULLY FURNISHED,2023-09-25 13:35:29.325070,https://99.co/singapore/rooms/property/101-pasir-ris-street-12-hdb-bua5nZqG7rwTeXTwThAr9,2023-09-25
31 Marsiling Drive,,,800.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-25 13:34:29.325072,https://99.co/singapore/rooms/property/31-marsiling-drive-hdb-A7YsMjSSnkPpXgRzbGnaPV,2023-09-25
3 Tay Lian Teck Rd,Siglap, 4 mins,950.0,Condo,Common room,250.0,FULLY FURNISHED,2023-09-25 13:27:29.325075,https://99.co/singapore/rooms/property/dong-xing-court-condo-UPYrHwCanQZbdvNaqdDhwb,2023-09-25
330 Serangoon Avenue 3,Serangoon, 6 mins,1100.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325077,https://99.co/singapore/rooms/property/330-serangoon-avenue-3-hdb-4qDN2hcw3m9krfjnarDxiD,2023-09-25
Perak Road,,,2300.0,Conservation House,Master room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325080,https://99.co/singapore/rooms/property/perak-road-landed-y4fuRnCqnNeKjjW8psqKwd,2023-09-25
312 Woodlands Street 31,Marsiling, 3 mins,1500.0,HDB,Master room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325082,https://99.co/singapore/rooms/property/312-woodlands-street-31-hdb-6az6gUrMimy5NbrkdvMy3Y,2023-09-25
6 Marina Boulevard,Downtown, 2 mins,1600.0,Condo,Common room,80.0,FULLY FURNISHED,2023-09-25 13:57:29.325084,https://99.co/singapore/rooms/property/the-sail-marina-bay-condo-U6LR9h83e4PREnR84JagwB,2023-09-25
23 Fernvale Lane,,,1200.0,Condo,Common room,130.0,FULLY FURNISHED,2023-09-25 13:57:29.325087,https://99.co/singapore/rooms/property/the-topiary-condo-CagGM69hzaUivcAP3HtikP,2023-09-25
17 Fernvale Lane,,,1800.0,Condo,Master room,300.0,FULLY FURNISHED,2023-09-25 13:57:29.325089,https://99.co/singapore/rooms/property/the-topiary-condo-vNMtcGa4ZBUY863W3Pnqnj,2023-09-25
38 Lor Ong Lye,,,1400.0,Condo,Common room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325091,https://99.co/singapore/rooms/property/rosalia-park-condo-2qXzoW94M77vs9NzDMffof,2023-09-25
1 Lor 20 Geylang,Aljunied, 6 mins,2000.0,Condo,Master room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325094,https://99.co/singapore/rooms/property/1-suites-condo-bR8GFAbXT4LwDNZkwJeB9A,2023-09-25
11 Jln Mutiara,,,2000.0,Condo,Master room,130.0,FULLY FURNISHED,2023-09-25 13:57:29.325096,https://99.co/singapore/rooms/property/mutiara-view-condo-DVYKVs97kVujFqsnhZQWXj,2023-09-25
34 Woodlands Dr 16,,,2400.0,Condo,Master room,300.0,FULLY FURNISHED,2023-09-25 13:57:29.325098,https://99.co/singapore/rooms/property/forestville-condo-ATB3TxcmV36DUaW3noMsTW,2023-09-25
648B Jurong West Street 61,Pioneer, 2 mins,1250.0,HDB,Common room,96.0,FULLY FURNISHED,2023-09-25 13:57:29.325100,https://99.co/singapore/rooms/property/648b-jurong-west-street-61-hdb-mPrvuHmwzBmSpzVzbK7cer,2023-09-25
