address,full_address,latitude,longitude,planning_area,region,Nearest_MRT_Station,latitude_mrt,longitude_mrt,Distance_to_Nearest_MRT_km,Walking_Time_to_Nearest_MRT_min,price,unit_type,room_type,room_size_sqft,status,updated_date,link
356C Ubi Road 3,"356C, Ubi Road 3, Geylang, Southeast, 403356, Singapore",1.32751605,103.8999337,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.281769621,3.381235448,1280,HDB,Common room,120,FULLY FURNISHED,07/09/2023,https://99.co/singapore/rooms/property/356c-ubi-road-3-hdb-4RVYq4mSE9cviJzMKiB6qD
356D Ubi Road 3,"356D, Ubi Road 3, Geylang, Southeast, 404356, Singapore",1.3270228,103.8999836,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.336218359,4.034620314,1700,HDB,Master room,269,PARTIALLY FURNISHED,16/09/2023,https://99.co/singapore/rooms/property/356d-ubi-road-3-hdb-8o2XVR4mzvwXcemUgbCJM3
356D Ubi Road 3,"356D, Ubi Road 3, Geylang, Southeast, 404356, Singapore",1.3270228,103.8999836,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.336218359,4.034620314,1700,HDB,Master room,269,PARTIALLY FURNISHED,28/08/2023,https://99.co/singapore/rooms/property/356d-ubi-road-3-hdb-3px63vRAE7pUSkWVvCxvnX
357B Ubi Road 3,"357B, Ubi Road 3, Geylang, Southeast, 402357, Singapore",1.32837245,103.8997109,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.183395794,2.200749524,1100,HDB,Common room,130,FULLY FURNISHED,18/09/2023,https://99.co/singapore/rooms/property/357b-ubi-road-3-hdb-4WKSw3TArNzmCdAR85XLBN
357B Ubi Road 3,"357B, Ubi Road 3, Geylang, Southeast, 402357, Singapore",1.32837245,103.8997109,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.183395794,2.200749524,1300,HDB,Master room,200,FULLY FURNISHED,05/09/2023,https://99.co/singapore/rooms/property/357b-ubi-road-3-hdb-ieBwmX6iTQa4FNQoZfGVKZ
358B Ubi Road 3,"358B, Ubi Road 3, Geylang, Southeast, 402358, Singapore",1.328508,103.8999555,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.179057765,2.148693174,1100,HDB,Common room,140,FULLY FURNISHED,05/09/2023,https://99.co/singapore/rooms/property/358b-ubi-road-3-hdb-Gv6vwwYFn9UZfWxwiQ7Hra
358D Ubi Road 3,"358D, Ubi Road 3, Geylang, Southeast, 404358, Singapore",1.3294106,103.8997272,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.080456515,0.965478181,1150,HDB,Common room,100,FULLY FURNISHED,17/09/2023,https://99.co/singapore/rooms/property/358d-ubi-road-3-hdb-8Wy6uvr6hKgWacxZKAyouj
304 Ubi Avenue 1,"304, Ubi Avenue 1, Geylang, Southeast, 400304, Singapore",1.32969935,103.9015932,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.26177104,3.141252479,1000,HDB,Common room,180,FULLY FURNISHED,19/09/2023,https://99.co/singapore/rooms/property/304-ubi-avenue-1-hdb-pU3wRFxtnJaYuKZWYigkgQ
313 Ubi Avenue 1,"313, Ubi Avenue 1, Geylang, Southeast, 400313, Singapore",1.3291188,103.9039642,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.532001935,6.384023215,1200,HDB,Master room,250,FULLY FURNISHED,17/09/2023,https://99.co/singapore/rooms/property/313-ubi-avenue-1-hdb-N57kUXhgo8wRYPd86Xz3Gk
320 Ubi Avenue 1,"320, Ubi Avenue 1, Geylang, Southeast, 400320, Singapore",1.32875065,103.9042337,Geylang,Central,UBI MRT STATION,1.329956826,103.8992525,0.569748555,6.836982654,1800,HDB,Master room,200,FULLY FURNISHED,02/09/2023,https://99.co/singapore/rooms/property/320-ubi-avenue-1-hdb-NaXYPHpgRiBaPJLZDRtzX9
