address,full_address,latitude,longitude,planning_area,region,Nearest_MRT_Station,latitude_mrt,longitude_mrt,Distance_to_Nearest_MRT_km,Walking_Time_to_Nearest_MRT_min,price,unit_type,room_type,room_size_sqft,status,updated_date,link
111 Pasir Ris Street 11,"111, Pasir Ris Street 11, Pasir Ris, Northeast, 510108, Singapore",1.3679325,103.95635409388422,Pasir Ris,East,PASIR RIS MRT STATION,1.372983774,103.9492681,0.9674467095109757,11.609360514131708,1000.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/111-pasir-ris-street-11-hdb-StDBmhCxmAUMLZDT99EQB2
30 Sembawang Dr,"Sembawang Public Library, 30, Sembawang Drive, Sembawang, Northwest, 757713, Singapore",1.4483136,103.8194642,Sembawang,North,SEMBAWANG MRT STATION,1.449050821,103.8200461,0.10442180453146603,1.2530616543775923,1400.0,Condo,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/sun-plaza-condo-U6bm6QqEGM77w4QxcJQtxv
853 Mountbatten Rd,"Mountbatten Road, Marine Parade, Southeast, 437737, Singapore",1.3005679,103.8886258,Marine Parade,Central,DAKOTA MRT STATION,1.308382639,103.8886626,0.8689689594589829,10.427627513507796,1300.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/east-mews-condo-9VArrh9ULwZPcAg2dEMdQK
11 Paya Lebar Rd,"Paya Lebar Road, Geylang, Southeast, 370083, Singapore",1.3235605,103.8907622,Geylang,Central,MACPHERSON MRT STATION,1.326345372,103.890287,0.31413710906615044,3.7696453087938053,3480.0,Condo,Studio,660.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/lotus-at-paya-lebar-east-wing-condo-FAqodYefatCbKwjkJqX72P
Eunos Crescent View,"Eunos Crescent View, Geylang, Southeast, Singapore",1.3235516999999999,103.90340021402191,Geylang,Central,EUNOS MRT STATION,1.319778952,103.9032525,0.4198316872004479,5.0379802464053745,2600.0,Conservation House,Whole unit,400.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/property-in-singapore-landed-MBwQGhKyPSVBD2KcjDtiMa
Bedok Ria,"Bedok Ria Park, Simpang Bedok, Bedok, Southeast, Singapore",1.3273008,103.95314908017724,Bedok,East,TANAH MERAH MRT STATION,1.327187135,103.9463465,0.7563150787055155,9.075780944466185,1500.0,Bungalow,Master room,200.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/property-in-singapore-landed-JQMtxhhMj4FZdJ6JQyYDFP
188-1 Tanjong Katong Rd,"Tanjong Katong Road, Geylang, Southeast, 430022, Singapore",1.3138306,103.8941525,Geylang,Central,PAYA LEBAR MRT STATION,1.318112082,103.8930604,0.49131477343911667,5.8957772812694005,2400.0,Condo,Master room,301.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/188-1to10-tanjong-katong-road-condo-EoKUURqPeTaBjeiLDMA8fZ
103 Cashew Rd,"103, Cashew Road, Jelebu, Bukit Panjang, Northwest, 679676, Singapore",1.37375105,103.76799740191292,Bukit Panjang,West,PENDING LRT STATION,1.376142883,103.7712702,0.450660641017352,5.407927692208224,1680.0,Condo,Master room,250.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/cashew-heights-condominium-condo-SmEJye53QstsgJmAHx25qU
Sallim Road,"Sallim Road, Geylang, Southeast, 387621, Singapore",1.3262437,103.8809173,Geylang,Central,MATTAR MRT STATION,1.326876715,103.8832475,0.268429939099108,3.2211592691892963,1880.0,Corner Terrace,Master room,500.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/sallim-road-landed-f5qv9qaKPBTH8o7g8cZReP
162 Mariam Way,"Mariam Way, Changi, Southeast, 507714, Singapore",1.3589568,103.9697391,Changi,East,TAMPINES EAST MRT STATION,1.356191483,103.9546345,1.7070064005921466,20.484076807105758,1360.0,Condo,Common room,200.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/ballota-park-condominium-condo-AePF8vRTE7rPufG9TVDPAp
