address,geocoded_address
304 Ubi Avenue 1,"304, Ubi Avenue 1, Geylang, Southeast, 400304, Singapore"
154 Lorong 2 Toa Payoh,"154, Lorong 2 Toa Payoh, Toa Payoh Sapphire, Toa Payoh, Central, 310154, Singapore"
43 Hougang Ave 7,"43, Hougang Avenue 7, Hougang, Northeast, 530338, Singapore"
346 Ang Mo Kio Avenue 3,"Ang Mo Kio Avenue 3, Ang Mo Kio, Central, 563700, Singapore"
415 Yishun Avenue 11,"Yishun Avenue 11, Yishun, Northwest, 760414, Singapore"
733 Tampines Street 71,"733, Tampines Street 71, Tampines Courtview, Tampines, Northeast, 520733, Singapore"
30 Mount Vernon Rd,"30, Mount Vernon Road, Park Edge, Toa Payoh, Southeast, 362222, Singapore"
23 Fernvale Rd,"23, Fernvale Road, Fernvale, Seng Kang, Central, 790464, Singapore"
Seletar Hills Estate,"Seletar Hills Estate, Yio Chu Kang Road, Seletar Hills, Serangoon, Central, 790404, Singapore"
5 Yishun Cl,"5, Miltonia Close, Yishun, Northwest, 737749, Singapore"
101B Lorong 2 Toa Payoh,"101B, Lorong 2 Toa Payoh, Braddell, Toa Payoh, Central, 311101, Singapore"
909 Tampines Avenue 4,"909, Tampines Avenue 4, Tampines West, Tampines, Northeast, 520909, Singapore"
3 Fernvale Cl,"Fernvale Close, Fernvale, Seng Kang, Central, 793470, Singapore"
9 Sengkang Square,"Sengkang Square, Compassvale, Seng Kang, Northeast, 545076, Singapore"
15 Simei St 4,"Simei Street 4, Simei, Southeast, 520227, Singapore"
323 Sembawang Close,"323, Sembawang Close, Sembawang, Northwest, 750323, Singapore"
462 Choa Chu Kang Avenue 4,"462, Choa Chu Kang Avenue 4, Peng Siang, Choa Chu Kang, Southwest, 680462, Singapore"
92A Jalan Satu,"92A, Jalan Satu, Geylang, Southeast, 391092, Singapore"
178A Rivervale Crescent,"Rivervale Arc, 178A, Rivervale Crescent, Rivervale, Seng Kang, Northeast, 543178, Singapore"
